age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
2.6143148,8.969076,0.13418016,0.007870674,369.05206,0.049170285,7.725039,9.417357,4.130826,1.3269945,1.5774386,0.1,7.4526663,1.6422079,8.362133,6424.5103
2.7539756,8.981724,0.13419747,0.004916726,372.7301,0.0315513,7.7239532,9.43996,4.124371,1.314523,1.5442085,0.099999994,7.451705,1.6458895,8.369784,6402.1074
2.673596,8.920691,0.13603887,0.005251223,375.0533,-0.044973284,7.713537,9.427095,4.1127105,1.3130368,1.5332973,0.1,7.3508406,1.668236,8.334831,6491.349
2.9235325,8.965944,0.13150431,0.006435313,377.92795,-0.014030248,7.7020645,9.465907,4.123237,1.2895962,1.4992808,0.1,7.6043134,1.6342578,8.354766,6395.1895
2.9492943,8.971676,0.1313749,0.0071787196,378.54434,-0.03190002,7.7131534,9.469718,4.1262712,1.2820091,1.4894235,0.10000001,7.6118045,1.6239942,8.363952,6406.8086
3.6326582,9.102312,0.13268887,0.0062688654,393.02512,-0.015231609,7.716852,9.560225,4.0940537,1.2522848,1.4001257,0.1,7.536427,1.6661526,8.438836,6201.8115
2.6828752,8.9529085,0.1361506,0.0046952907,373.2701,0.017487496,7.7125726,9.4286,4.112734,1.3254392,1.5526367,0.1,7.3448076,1.6751294,8.349113,6429.8506
2.654362,8.932102,0.13612506,0.0046089967,373.32565,0.018891811,7.6947784,9.42396,4.10816,1.3315802,1.5586436,0.10000001,7.346186,1.6878864,8.329437,6434.455
2.6892014,8.941914,0.13529344,0.004723717,373.35165,0.017014444,7.700837,9.429623,4.1131134,1.3244631,1.5512547,0.10000001,7.391341,1.6737661,8.337834,6428.6694
2.9507136,9.052294,0.13482836,0.005934856,377.4755,0.072562724,7.7343073,9.469927,4.1170306,1.3130789,1.5247846,0.1,7.416837,1.6612027,8.412363,6305.6514
3.149652,9.036545,0.13333279,0.0063864468,381.63327,0.041101754,7.701909,9.498262,4.105826,1.2958444,1.4826564,0.1,7.500031,1.6691043,8.391142,6279.11
2.372186,8.976617,0.13584238,0.0056192833,361.88983,0.17057985,7.7052383,9.375149,4.1280227,1.3806771,1.6747358,0.099999994,7.361473,1.6801565,8.350225,6374.009
2.3251004,8.951236,0.13524507,0.005639647,360.63998,0.10878211,7.724273,9.366442,4.1383104,1.3631098,1.6625575,0.1,7.3939853,1.6497334,8.3478565,6449.8657
2.2733037,8.9455385,0.1351898,0.005688339,358.95685,0.11550766,7.7241507,9.356657,4.1408787,1.3675877,1.6775771,0.1,7.3970075,1.6471997,8.344146,6458.5386
2.241315,8.979984,0.13326599,0.0057154424,354.97995,0.18617314,7.721118,9.350503,4.1517024,1.3767464,1.7127424,0.099999994,7.5037904,1.631979,8.358162,6393.4263
2.2168686,8.957653,0.1332684,0.005380518,354.96118,0.18604386,7.7040153,9.345739,4.1473966,1.3829885,1.719448,0.1,7.5036545,1.6438235,8.338099,6401.6597
2.2253847,8.968782,0.1333587,0.0056897746,354.6493,0.1513029,7.7326636,9.3474045,4.1551223,1.3679826,1.7035832,0.10000001,7.498574,1.620446,8.3589115,6432.793
1.9432579,8.895475,0.13695197,0.015728356,351.64246,0.10425696,7.741347,9.28853,4.152069,1.3919129,1.7690285,0.10000001,7.30183,1.6407118,8.324085,6571.453
2.7418232,9.026367,0.13496393,0.00556723,371.15182,0.12542924,7.7165284,9.43804,4.1204476,1.3416991,1.5801289,0.1,7.4093876,1.6707506,8.386129,6315.9165
3.6612082,9.104554,0.13601162,0.004740059,396.2436,-0.0323627,7.713031,9.563624,4.071971,1.2578791,1.3915136,0.099999994,7.3523135,1.7130089,8.439068,6193.871
4.3805285,9.05845,0.13390538,0.0008066902,417.57156,-0.086561024,7.733566,9.641526,4.076597,1.1905416,1.3006237,0.10000001,7.4679594,1.6574086,8.425781,6304.9014
4.3398924,8.997194,0.13442239,0.0010252057,421.7803,-0.15120539,7.730331,9.637479,4.0725293,1.1760987,1.2853248,0.10000001,7.4392366,1.6541963,8.393388,6404.2627
4.6716266,9.092164,0.13367492,0.00047674257,421.49,-0.042637616,7.733239,9.669467,4.0723624,1.1840322,1.2881804,0.1,7.4808345,1.6592517,8.442077,6245.546
2.4821024,8.888443,0.13524748,0.0052874517,368.36624,-0.022925079,7.7083473,9.394819,4.124446,1.3281286,1.5787271,0.099999994,7.393853,1.6542163,8.312956,6533.696
2.3070796,8.878802,0.13646725,0.0053181234,363.99615,-0.020722538,7.7313657,9.363062,4.133781,1.340279,1.6182482,0.099999994,7.3277655,1.6442257,8.317318,6588.854
2.4904933,8.942427,0.13579981,0.0054970197,366.56598,0.04432702,7.7240744,9.396285,4.127462,1.3399363,1.6009642,0.10000001,7.3637805,1.6554182,8.346405,6465.796
2.600892,8.933576,0.13474792,0.006081512,370.042,-0.0029946566,7.7218456,9.415122,4.1264277,1.3187839,1.5612712,0.1,7.4212646,1.6448756,8.343555,6478.308
2.6036777,8.943673,0.13473986,0.0066460017,369.77344,-0.0037291348,7.731986,9.415586,4.129633,1.3161138,1.5604781,0.10000001,7.4217086,1.6372967,8.3538,6478.767
2.5216944,8.918085,0.13678037,0.0052234726,369.42194,-0.018117398,7.727798,9.401692,4.1210384,1.3273089,1.5720353,0.1,7.310991,1.6600463,8.337887,6515.625
5.1954403,9.099655,0.13103901,0.0010426226,434.43124,-0.12010768,7.7331877,9.715622,4.068121,1.1324209,1.2257485,0.1,7.631315,1.6290553,8.45125,6240.2295
5.1549826,9.068472,0.13117683,0.0010202363,436.79956,-0.110035,7.6955137,9.712227,4.0542026,1.1394746,1.2314432,0.1,7.623297,1.6603636,8.416674,6228.7646
3.8697503,9.13223,0.13381542,0.003891059,400.33224,-0.04677698,7.736732,9.587683,4.0861516,1.2331653,1.3633974,0.1,7.4729805,1.6703005,8.46629,6191.1396
3.6764548,9.070636,0.13391611,0.0037669404,397.32007,-0.065479666,7.6992955,9.565429,4.077656,1.2461301,1.3796002,0.1,7.467361,1.6954371,8.415772,6229.401
3.6876326,9.094269,0.13391462,0.0044911774,396.5313,-0.065700054,7.7250557,9.566747,4.0864205,1.2410216,1.3782386,0.1,7.467445,1.6752124,8.440463,6233.159
3.2406962,9.089183,0.13409023,0.007604546,384.16113,0.06745151,7.7219744,9.510637,4.1053,1.2959801,1.4784807,0.1,7.4576645,1.6731547,8.428142,6228.219
2.7690978,8.9725895,0.13567942,0.005404803,374.7411,0.015213519,7.7188325,9.442338,4.1136303,1.3161643,1.5355421,0.10000001,7.3703146,1.667076,8.36313,6407.995
2.6784823,8.971523,0.13502526,0.0052356976,371.42136,0.051288873,7.714255,9.427888,4.1202526,1.3291898,1.5656577,0.10000001,7.406021,1.6633435,8.358516,6402.325
2.832423,9.019589,0.13500342,0.006042811,374.46027,0.05461204,7.733922,9.452158,4.1205797,1.3158169,1.5381129,0.099999994,7.4072204,1.6541445,8.394133,6356.578
2.3734982,8.950126,0.13405865,0.005407493,361.49826,0.09215215,7.723923,9.375389,4.1419854,1.3516166,1.6449319,0.1,7.4594216,1.6359822,8.348129,6452.208
2.2271461,8.910678,0.13341358,0.0052800407,356.95947,0.083097905,7.716361,9.347748,4.1491637,1.3582948,1.676641,0.1,7.4954886,1.6256423,8.322888,6504.9805
2.28017,8.913187,0.1333492,0.006070319,358.9155,0.057052135,7.7240114,9.357966,4.149226,1.3471186,1.6534915,0.099999994,7.4991083,1.6192535,8.329309,6514.897
2.5568166,8.957983,0.1336849,0.0057464875,367.32013,0.051855713,7.722232,9.4077,4.1349216,1.3298336,1.5899208,0.1,7.480276,1.636244,8.354394,6437.9844
2.9111733,9.000979,0.13273168,0.005605088,376.66046,0.02725637,7.7172656,9.464067,4.123187,1.3005481,1.5153601,0.1,7.5339966,1.6409664,8.378638,6360.8965
3.434787,9.023315,0.13447596,0.004895409,393.1622,-0.11903435,7.7150774,9.535899,4.0872927,1.246717,1.3925624,0.1,7.4362736,1.6757163,8.398779,6335.2354
3.4052868,9.0089035,0.13445564,0.0046804077,393.2408,-0.14296225,7.718544,9.532153,4.08909,1.2424529,1.3889138,0.1,7.4373975,1.6695262,8.393441,6366.1772
2.8489616,9.037754,0.13299216,0.0059432457,373.46646,0.093345106,7.7276716,9.454686,4.129362,1.3179201,1.5490558,0.1,7.5192404,1.6401818,8.399544,6317.2446
